M0 CompactMaxViT 9,489,043 parameters; global batch 8; start epoch 1
/hdd1/hukaixiao/projects/faultsyn3d/train/train_compact_maxvit_ddp.py:217: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  print(f'epoch={epoch:03d} step={step+1}/{len(dl)} loss={float(loss):.5f}',flush=True)
epoch=042 step=50/100 loss=0.06853
epoch=042 step=60/100 loss=0.09361
epoch=042 step=70/100 loss=0.07821
epoch=042 step=80/100 loss=0.12159
epoch=042 step=90/100 loss=0.08304
epoch=042 step=100/100 loss=0.10905
EPOCH 042/200: train=0.10856 val=0.09394 IoU=0.776841 P=0.8801 R=0.8688 83.5s peak=7814MiB
epoch=043 step=1/100 loss=0.08426
epoch=043 step=10/100 loss=0.10207
epoch=043 step=20/100 loss=0.07000
epoch=043 step=30/100 loss=0.10232
epoch=043 step=40/100 loss=0.13268
epoch=043 step=50/100 loss=0.14054
epoch=043 step=60/100 loss=0.14587
epoch=043 step=70/100 loss=0.11296
epoch=043 step=80/100 loss=0.10305
epoch=043 step=90/100 loss=0.11444
epoch=043 step=100/100 loss=0.05968
EPOCH 043/200: train=0.10569 val=0.09192 IoU=0.780739 P=0.8932 R=0.8611 83.3s peak=7814MiB
epoch=044 step=1/100 loss=0.12622
epoch=044 step=10/100 loss=0.11763
epoch=044 step=20/100 loss=0.12326
epoch=044 step=30/100 loss=0.12549
epoch=044 step=40/100 loss=0.13212
epoch=044 step=50/100 loss=0.06801
epoch=044 step=60/100 loss=0.09893
epoch=044 step=70/100 loss=0.07732
epoch=044 step=80/100 loss=0.08656
epoch=044 step=90/100 loss=0.05720
epoch=044 step=100/100 loss=0.12851
EPOCH 044/200: train=0.10682 val=0.09231 IoU=0.777633 P=0.8720 R=0.8778 83.5s peak=7814MiB
epoch=045 step=1/100 loss=0.15947
epoch=045 step=10/100 loss=0.05394
epoch=045 step=20/100 loss=0.06494
epoch=045 step=30/100 loss=0.12497
epoch=045 step=40/100 loss=0.08987
epoch=045 step=50/100 loss=0.10252
epoch=045 step=60/100 loss=0.06529
epoch=045 step=70/100 loss=0.04953
epoch=045 step=80/100 loss=0.11285
epoch=045 step=90/100 loss=0.11072
